season,episode,episode_title,companions,year_came_out,series_type,story_title,doctor_num,episode_mood,missing,vibe_tags,villains,setting,imdb_rating,plot_summary
1,11,Boom Town,"Rose, Mickey, Jack",2006,Modern,Boom Town,9,"Dark, Comedic",0,"Quirky, Urban, Mysterious",Margaret Slitheen,"Cardiff, Past, 2006",7.1,"Stopping off in present-day Cardiff to recharge the TARDIS, The Doctor, Rose and Jack meet up with Mickey and encounter an old foe in the midst of hatching a scheme that could destroy the entire planet."
1,12,Bad Wolf,"Rose, Jack",2006,Modern,Bad Wolf,9,Ominous,0,"Dark, Mysterious, Futuristic, Chaotic",Daleks,"Satellite 5, Future, 200100",8.6,"The Doctor, Rose and Jack are separated and forced to compete in twisted and deadly games on the Game Station."
1,13,The Parting of the Ways,"Rose, Jack",2006,Modern,The Parting of the Ways,9,Bittersweet,0,"Dark, Intense, Emotional",Daleks,"Satellite 5, Future, 200000",9,"As the Dalek fleet begin their attack on the Earth, the Doctor and his allies make one final stand."
2,0,The Christmas Invasion,Other,2006,Modern,The Christmas Invasion,10,"Joyful, Chaotic",0,Action Adventure Mystery,Sycorax,"London, Past, 2006",8,"It's Christmas Eve, but this is to be a far from silent night - the cruel Sycorax have come to Earth to enslave mankind and, as ever, only The Doctor can stop them. Unfortunately, he's lying in a coma in Jackie's home..."
2,1,New Earth,Rose,2006,Modern,New Earth,10,"Dark, Comedic",0,"Futuristic, Mysterious, Dark",Cassandra,"New Earth, Future",7.3,The Doctor and Rose arrive on New Earth and meet old friends and enemies in a hospital which can cure every disease. But the cures come at a terrible cost.
2,2,Tooth and Claw,Rose,2006,Modern,Tooth and Claw,10,"Dark, Suspenseful",0,"Gothic, Mysterious, Historical",Werewolf,"Scotland, Past, 1879",7.6,"The Doctor and Rose are transported to 19th Century Scotland, where they meet Queen Victoria, and try to protect her from a ravenous werewolf and a band of assassinating warrior-monks"
2,3,School Reunion,"Rose, Sarah Jane",2006,Modern,School Reunion,10,Nostalgic,0,"Mysterious, Dark, Emotional",Krillitane,"Deffry Vale School, Past, 2007",8.2,"The Krillitanes - aliens with a mix-and-match physiology - are trying to crack the 'God-Maker', a paradigm to give them ultimate power. They are using children as a computer, and only the Doctor and Rose, re-united with Sarah Jane..."
2,4,The Girl in the Fireplace,"Rose, Mickey",2006,Modern,The Girl in the Fireplace,10,"Bittersweet, Romantic",0,"Elegant, Mysterious, Historical",Clockwork Droids,"France, Past, 1727",9.2,"The Doctor, Mickey and Rose land on a spaceship in the 51st century only to find 18th century Versailles on board, the time of Madame De Pompadour! To find out what's going on the Doctor must enter Versailles and save Madame De Po..."
2,5,Rise of the Cybermen,"Rose, Mickey",2006,Modern,Rise of the Cybermen,10,"Dark, Ominous",0,"Gritty, Industrial, Futuristic",Cybermen,"London, Past, 2007, Alternate Universe",7.7,"The TARDIS crash lands in London on a parallel world, where Rose's dad is still alive, people are disappearing off the streets and one of the Doctor's deadliest enemies is about to be reborn."
2,6,The Age of Steel,"Rose, Mickey",2006,Modern,The Age of Steel,10,"Dark, Ominous",0,"Gritty, Industrial, Futuristic",Cybermen,"London, Past, 2007",7.8,The Cybermen take control of London as the population is enslaved and the Doctor and his friends become fugitives.
2,7,The Idiot's Lantern,Rose,2006,Modern,The Idiot's Lantern,10,"Ominous, Dark",0,Vintage Mysterious Creepy,The Wire,"London, Past, 1953",6.7,"As the coronation of Elizabeth II nears, the streets of London live in fear. Faceless people are stolen from their homes in the night and something evil is lurking in the television."
2,8,The Impossible Planet,Rose,2006,Modern,The Impossible Planet,10,"Ominous, Dark, Suspenseful",0,"Mysterious, Ominous, Deserted, Claustrophobic",The Beast,"Krop Tor, Future, 49th century",8.6,"When the Doctor and Rose become stranded on a planet orbiting a black hole, they find a human expedition crew and their servants, the Ood, being terrorised by the Devil."
2,9,The Satan Pit,Rose,2006,Modern,The Satan Pit,10,"Ominous, Dark, Terrifying",0,"Horror, Suspense, Adventure, Mysterious",The Beast,"Space, Future, 100000000000000",8.7,"The Doctor risks his life to investigate the pit and is forced to make a terrible decision, while Rose and the crew fend for their lives against the Legion of the Beast."
2,10,Love & Monsters,Rose,2006,Modern,Love & Monsters,10,"Bittersweet, Sad,",0,"Quirky, Dark, Emotional,",Absorbaloff,"London, Past, 2007",6.1,"Elton Pope is an ordinary man intrigued by the world of the Doctor. When he and fellow enthusiasts - L.I.N.D.A. - meet the mysterious Victor Kennedy, their lives will never be the same again."
2,11,Fear Her,Rose,2006,Modern,Fear Her,10,"Dark, Ominous, Sad",0,"Mysterious, Ominous, Athletic, Suspenseful",The Isolus,"London, Present, 2012",5.8,"When children vanish into thin air in 2012 London, the Doctor and Rose find the answers in a seemingly ordinary household and a girl whose drawings can come to life."
2,12,Army of Ghosts,Rose,2006,Modern,Army of Ghosts,10,"Ominous, Dark, Sad",0,"Paranormal, Mysterious, Suspenseful, Apocalyptic",Cybermen,"London, Past, 2007",8.4,"When ghosts of loved ones appear all over the world the Doctor traces the phenomena to the Torchwood Tower, where some old friends and enemies are waiting."
2,13,Doomsday,Rose,2006,Modern,Doomsday,10,"Heartbreaking, Sad, Melancholic",0,"Dark, Emotional, Intense, Dramatic","Daleks, Cybermen","London, Past, 2007",9.2,"Earth becomes a battleground for the Daleks and the Cybermen. With the whole planet at stake and the Genesis Ark activated, how much will the Doctor sacrifice in order to end the war?"
3,0,The Runaway Bride,Donna,2007,Modern,The Runaway Bride,10,"Emotional, Confusing, Sad",0,"Mysterious, Adventurous, Romantic, Dark",Empress of the Racnoss,"London, Past, 2007",7.6,"The Doctor is baffled when a young woman is transported to the TARDIS on her wedding day, and attempts to find out how she is connected to an alien plot to destroy Earth."
3,1,Smith and Jones,Martha,2007,Modern,Smith and Jones,10,"Exciting, Thrilling, Fast-paced",0,"Hospital, Action, Mystery, Adventure",Slitheen,"London, Past, 2008",7.9,"When medical student Martha Jones meets a mysterious stranger called The Doctor, and finds herself transported to the moon, her life will never be the same again."
3,2,The Shakespeare Code,Martha,2007,Modern,The Shakespeare Code,10,"Magical, Mysterious,",0,"Historical, Mystical, Theatrical,",The Carrionites,"London, Past, 1599",7.5,"The Doctor takes Martha to London in 1599, where William Shakespeare's new play is being used by three witches in an evil plan."
3,3,Gridlock,Martha,2007,Modern,Gridlock,10,"Bittersweet, Sad, Hopeful",0,"Dark, Gritty, Urban, Futuristic","The Macra, The Face of Boe","New New York, Future, Year 2087",8,"The Doctor takes Martha to New Earth, where she is kidnapped by two carjackers and taken to an underground Motorway, where the remainder of humanity on the planet live in perpetual gridlock."
3,4,Daleks in Manhattan,Martha,2007,Modern,Daleks in Manhattan,10,"Dark, Ominous, Sad",0,"Noir, Gritty, Mysterious, Vintage",Daleks,"New York City, Past, 1930",7,"The Doctor and Martha travel to New York in 1930, where people have been mysteriously vanishing from the streets, and an old enemy resurfaces."
3,5,Evolution of the Daleks,Martha,2007,Modern,Evolution of the Daleks,10,"Dark, Ominous, Suspenseful",0,"Gritty, Dark, Mysterious, Action",Daleks,"New York City, Past, 1930",6.9,"Concluding part to Daleks in Manhattan. In 1930s New York, the Daleks' plan is in full force. Faced with the cyborgs' most evil and dangerous scheme yet, will the Doctor and Martha be able to defeat their greatest opponents?"
3,6,The Lazarus Experiment,Martha,2007,Modern,The Lazarus Experiment,10,"Dark, Ominous, Thrilling",0,"Mysterious, Gothic, Suspenseful, Dark",Richard Lazarus,"London, Past, 2008",6.5,The famous Dr Lazarus has appeared to discover the secret of eternal youth - but do his experiments hide a sinister secret?
3,7,42,Martha,2007,Modern,42,10,"Intense, Thrilling, Dark",0,"Space, Mysterious, Suspenseful, Apocalyptic",,"Space, Future, 42 minutes before a sun explosion",7.2,"On a spaceship headed straight for the centre of the sun, the Doctor only has 42 minutes to save Martha and the ship's crew from an inevitable doom."
3,8,Human Nature,Martha,2007,Modern,Human Nature,10,"Bittersweet, Sad, Melancholic",0,"Mysterious, Dark, Romantic, Tragic",The Family,"Farringham School, England, Past, 1913",8.9,"In 1913, Martha watches in jealousy from afar as The Doctor learns what it is to be human and to fall in love with the local school nurse, Joan Redfern."
3,9,The Family of Blood,Martha,2007,Modern,The Family of Blood,10,"Dark, Haunting, Sad",0,"Mysterious, Gothic, Suspenseful, Ominous",The Family of Blood,"England, Past, 1913",9.2,"The Doctor must deal with the repercussions of his decision to become human, as The Family Of Blood unveil themselves..."
3,10,Blink,Martha,2007,Modern,Blink,10,"Bittersweet, Terrifying, Sad",0,"Mysterious, Dark, Suspenseful, Atmospheric",Weeping Angels,"London, Past, 2007",9.8,Sally Sparrow receives a cryptic message from the Doctor about a mysterious new enemy species that is after the TARDIS.
3,11,Utopia,"Martha, Jack",2007,Modern,Utopia,10,"Dark, Ominous, Sad",0,"Gritty, Mysterious, Apocalyptic, Suspenseful",The Master,"Cardiff, Past, 2008",8.7,"Soon after bumping into old friend Jack Harkness, Martha and The Doctor head off to Malcassairo, a distant planet where an old professor will do anything he can to keep his people alive..."
3,12,Sound of Drums,Martha,2007,Modern,Sound of Drums,10,"Ominous, Dark, Suspenseful",0,"Political, Thrilling, Mysterious, Dark",The Master,"London, Past, 2008",8.7,"The Doctor, Martha and Jack return to the 21st Century eighteen months after the Doctor and Martha left. They find they've missed the election, and the new Prime Minister, Harold Saxon, is someone they've met before by another name."
3,13,Last of the Time Lords,Martha,2007,Modern,Last of the Time Lords,10,"Melancholic, Sad, Hopeful",0,"Dark, Ominous, Epic, Emotional",The Master,"Earth, Past, 2008",8.3,"It's been a year since The Master unleashed the mysterious Toclafane onto Earth. With the human race and The Doctor enslaved under The Master's control, Martha Jones is the only person that can help stop the evil Time Lord."
4,0,Voyage of the Damned,"Alone, Other",2008,Modern,Voyage of the Damned,10,"Dark, Adventurous, Sad",0,"Mysterious, Adventurous, Futuristic, Chaotic",Host,"Space, Future, 2008, Christmas, Titanic spaceship",7.6,"When disaster hits the Titanic, the Doctor uncovers a threat to the whole human race. Battling alongside aliens, saboteurs, robot Angels and a new friend called Astrid, can he stop the Christmas inferno?"
4,1,Partners in Crime,Donna,2008,Modern,Partners in Crime,10,"Funny, Lighthearted, Adventurous",0,"Quirky, Humorous, Mysterious, Fast-paced","Adipose, Miss Foster","London, Past, 2008",7.7,"With a new weight-loss pill tested in London by Adipose Industries, The Doctor goes to investigate the sinister truth behind the product, only to find out that his old friend Donna Noble is investigating as well."
4,2,The Fires of Pompeii,Donna,2008,Modern,The Fires of Pompeii,10,"Bittersweet, Tragic, Sad",0,"Ancient, Mysterious, Dramatic, Historical",,"Pompeii, Past, 79 AD",8,"Instead of Rome, The Doctor and Donna Noble end up visiting Pompeii in AD 79, on the eve of the catastrophic eruption of Mount Vesuvius. Before anyone even knew it was actually a volcano, the entire city is doomed for destruction."
4,3,Planet of the Ood,Donna,2008,Modern,Planet of the Ood,10,"Sad, Bittersweet, Tragic",0,"Dark, Mysterious, Ominous, Gritty",,"Ood-Sphere, Future, 4126",8,"Finding themselves on the Ood-Sphere planet in the 42nd century, The Doctor and Donna discover the truth over the Ood's willingness to serve humankind."
4,4,The Sontaran Stratagem,Donna,2008,Modern,The Sontaran Stratagem,10,"Dark, Suspenseful, Ominous",0,"Military, Technological, Action, Conspiracy",Sontarans,"Earth, Past, 2009",7.4,UNIT's newest recruit Martha Jones enlists The Doctor's help to investigate kid genius Luke Rattigan and his ATMOS system that is used in every car on Earth.
4,5,The Poison Sky,Donna,2008,Modern,The Poison Sky,10,"Dark, Ominous, Suspenseful",0,"Apocalyptic, Gritty, Toxic, Military",Sontarans,"London, Past, 2008",7.5,"With planet Earth choking under the poison sky, the Doctor must stop the Sontarans' threat to the planet."
4,6,The Doctor's Daughter,Donna,2008,Modern,The Doctor's Daughter,10,"Bittersweet, Sad, Hopeful",0,"Action, Adventure, Mysterious, Emotional",Hath,"Planet Messaline, Future, 6012",7.5,"Caught in the middle of a war between the Humans and the Hath in the planet Messaline, the Doctor finds himself once again a father."
4,7,The Unicorn and the Wasp,Donna,2008,Modern,The Unicorn and the Wasp,10,"Whimsical, Mysterious, Dark",0,"Mysterious, Vintage, Elegant, Quirky","Vespiform, The Unicorn","England, Past, 1926",7.7,"With a 1926 dinner party turning into a murder mystery, The Doctor and Donna Noble get the chance to meet Agatha Christie on the eve of her well-known 9-days disappearance."
4,8,Silence in the Library,"Donna, River",2008,Modern,Silence in the Library,10,"Ominous, Dark, Mysterious, Sad",0,"Mysterious, Dark, Gothic, Intense",The Vashta Nerada,"The Library, Future, 51st Century",9.3,"The Doctor and Donna visit a planet-sized library but soon realise that the planet is devoid of life, that is until River Song and her team of archaeologists arrive. As they unravel the library's mystery, something lurks in the sh..."
4,9,Forest of the Dead,"Donna, River",2008,Modern,Forest of the Dead,10,"Bittersweet, Sad, Melancholic",0,"Dark, Mysterious, Ominous, Intense",The Vashta Nerada,"Library, Future, 51st Century",9.4,"With the library darkening, the Doctor takes on the Vashta Nerada while figuring out what links River Song to his future. Meanwhile, Donna finds out the mystery of Dr. Moon and the Girl."
4,10,Midnight,"Alone, Donna",2008,Modern,Midnight,10,"Dark, Isolated, Terrifying",0,"Mysterious, Ominous, Suspenseful, Creepy",,"Planet Midnight, Future",9.1,"As part of a well-deserved holiday, the Doctor takes a tour on a planet called Midnight. Little does he know that something is knocking on the walls, although the planet shouldn't be inhabited. Soon the passengers begin to panic w..."
4,11,Turn Left,Donna,2008,Modern,Turn Left,10,"Dark, Ominous, Sad",0,"Gritty, Mysterious, Ominous, Suspenseful",,"London, Past, 2008",8.9,"What would happen if Donna never met the Doctor? How would Earth handle the Racnoss, the falling Titanic or the Sontarans? Aided by a familiar blonde time traveler, Donna corrects the alternate time line from happening."
4,12,The Stolen Earth,"Donna, ",2008,Modern,The Stolen Earth,10,"Apocalyptic, Dark, Sad",0,"Epic, Mysterious, Ominous, Action",Daleks,"Earth, Past, 2009",9.1,"The return of an old enemy leaves Earth along with 26 other planets stolen from their places. As the Doctor and Donna look for the whereabouts of Earth, former companions of the Doctor assemble a resistance against the new Dalek E..."
4,13,Jorney's End,"Donna, ",2008,Modern,Jorney's End,10,"Bittersweet, Sad, Intense",0,"Dark, Epic, Emotional, Action",Daleks,"Cardiff, Past, 2009",9.2,"In the wake of Davros' threat to destroy the existence of the Universe itself, the Doctor's companions unite to stop the Dalek empire. Which one will die by the prophecies and what will the fate be for the Doctor?"
4,Special,The Next Doctor,"Alone, other",2009,Modern,The new Doctor,10,"Exciting, Adventurous",0,"Mysterious, Dark, Fast",The Master,"London, Past, 2008",7.4,The Doctor arrives in London on Christmas Eve in 1851 where he encounters the Cybermen and a man who claims he's a Time Lord called the Doctor.
4,Special,Planet of the Dead,"Alone, other",2009,Modern,Planet of the Dead,10,"Exciting, Adventurous",0,"Mysterious, Deserted, Ancient, Action",,"Planet San Helios, Future, 2009",7.4,"A meeting in a London bus with jewel thief Lady Christina takes a turn for the worst for the Doctor when the bus takes a detour to a desert-like planet, where the deadly Swarm awaits."
4,Special,The Waters of Mars,Alone,2009,Modern,The Waters of Mars,10,"Ominous, Dark, Sad",0,"Mysterious, Suspenseful, Isolated, Futuristic",,"Mars, Future, 2059",8.8,In a Mars base the inhabitants are being infected by a mysterious water creature which takes over its victims. The Doctor is thrust into the middle of this catastrophe knowing a larger one is waiting around the corner.
4,Special,The End of Time: Part One,,2009,Modern,The End of Time: Part One,10,"Melancholic, Nostalgic, Sad",0,"Mysterious, Epic, Dramatic, Ominous",The Master,"Earth, Present, 2009, 2010",8.3,The Ood have given a warning to The Doctor. The Master is returning yet that is not the biggest threat. A darkness is coming which brings with it The End of Time.
4,Special,The End of Time: Part Two,,2010,Modern,The End of Time: Part Two,10,"Melancholic, Sad, Bittersweet",0,"Epic, Dramatic, Emotional, Intense","The Master, Rassilon","Earth, Present, 2009, 2010",8.9,"With almost everyone on Earth now recast in his image, The Master controls the Earth. He's shocked however when he realises one person hasn't changed; Donna Noble. The Doctor soon understands what the pounding in the Master's head is; it's the Time Lords, who are trying to return and re-establish Gallifrey."
5,1,The Eleventh Hour,"Amy, Rory",2010,Modern,The Eleventh Hour,11,"Exciting, Fresh, Optimistic",0,"Quirky, Adventurous, Mysterious, Fantastical",Prisoner Zero,"Leadworth, Present, 2010",8.7,"With his TARDIS in ruins, the newly-regenerated Doctor with the help of Amy Pond must save the world in less than twenty minutes from galactic policemen known as the Atraxi."
5,2,The Beast Below,Amy,2010,Modern,The Beast Below,11,"Dark, Sad, Hopeful",0,"Mysterious, Futuristic, Ominous, Adventure",,"Space, Future, 33rd century, Spaceship",7.6,"The Doctor takes Amy to the future inside Starship UK, which contains in addition to British explorers, an intimidating race known as the Smilers."
5,3,Victory of the Daleks,Amy,2010,Modern,Victory of the Daleks,11,"Dark, Intense, Suspenseful",0,"Gritty, Dramatic, Historic, Action",Daleks,"London, Past, 1940",6.6,"The TARDIS takes The Doctor and Amy to war-torn Britain in the middle of World War Two. Not only do they meet Winston Churchill himself, but the Doctor comes face to face once again with his greatest enemy of all."
5,4,The Time of Angels,"Amy, River",2010,Modern,The Time of Angels,11,"Ominous, Dark, Terrifying",0,"Mysterious, Ancient, Creepy, Adventurous",Weeping Angels,"Maze-like temple, Future, 5145",8.6,"The Doctor and Amy emerge from the TARDIS to find the wreck of the Byzantium spaceship. Down below the Weeping Angels are stirring, but the Doctor has someone else to contend with; none other than the mysterious Professor River Song."
5,5,Flesh and Stone,"Amy, ",2010,Modern,Flesh and Stone,11,"Dark, Ominous, Suspenseful",0,"Mysterious, Atmospheric, Tense, Adventurous",Weeping Angels,"Maze-like ship, Future, 51st century",8.5,"The Doctor, Amy, Dr. Song and the remaining soldiers manage to escape from the crashed ship and into the forest. The Angels attempt to create a rift in time and space such as the Doctor had found in Amy's room when they first met...."
5,6,The Vampires of Venice,"Amy, Rory",2010,Modern,The Vampires of Venice,11,"Dark, Romantic, Mysterious",0,"Gothic, Horror, Romantic, Mysterious","The Vampires of Venice, Saturnyn","Venice, Past, 1580",7,The Doctor and Amy cross swords in more ways than one with a horde of blood-sucking vampires in 16th century Venice.
5,7,Amy's Choice,"Amy, Rory",2010,Modern,Amy's Choice,11,"Bittersweet, Sad, Confusing",0,"Mysterious, Rural, Dreamlike, Surreal",The Dream Lord,"Upper Leadworth, Present, 2015",8.1,"Five years after finally leaving the TARDIS, Amy and Rory, now married, live in the quiet little village of Leadworth; but everything is not what it would seem."
5,8,The Hungry Earth,"Amy, Rory",2010,Modern,The Hungry Earth,11,"Dark, Ominous, Suspenseful",0,"Mysterious, Rural, Atmospheric, Tense",Silurians,"Wales, Present, 2020",7.1,"When a drill drills too deep into the earth, something that had been hibernating beneath the earth's crust is woken, and it's hungry for revenge."
5,9,Cold Blood,Amy,2010,Modern,Cold Blood,11,"Dark, Sad, Bittersweet",0,"Mysterious, Underground, Tense, Adventurous",Silurians,"Wales, Present, 2020",7.3,"The Silurians are awake, angry, and preparing for war - a war that could decide who gets to live on Earth, the Silurians or the humans."
5,10,Vincent and the Doctor,Amy,2010,Modern,Vincent and the Doctor,11,"Bittersweet, Sad, Uplifting",0,"Artistic, Historical, Mysterious, Emotional",Krafayis,"Auvers-sur-Oise, Past, 1890",9.3,The Doctor and Amy travel back in time to meet Vincent Van Gogh and face an invisible monster that only the painter can see.
5,11,The Lodger,Alone,2010,Modern,The Lodger,11,"Humorous, Quirky, Lighthearted",0,"Comedic, Mysterious, Quirky, Domestic",,"London, Present, 2010",8,"After the TARDIS teleports without him, the doctor tries to find out what is stopping it from landing and traces it to a seemingly ordinary, two storey house."
5,12,The Pandorica Opens,"Alone, Amy, Rory",2010,Modern,The Pandorica Opens,11,"Ominous, Dark, Suspenseful",0,"Epic, Mysterious, Ancient, Adventurous","Alliance of Daleks, Cybermen, Silurians, Sontarans, Autons, The Master, etc","Stonehenge, England, Present, 2010",9,"River Song returns to deliver The Doctor a serious warning from his allies: the mythical Pandorica, said to contain the most feared creature in the entire Universe, is opening."
5,13,The Big Bang,"Alone, Amy, Rory, River",2010,Modern,The Big Bang,11,"Bittersweet, Emotional, Sad",0,"Mysterious, Adventurous, Epic, Dramatic","The Silence, ","London, Present, 2010",9.1,"The Pandorica opened, silence fell, and now planet Earth is left alone in the universe. Jumping through time, the doctor must figure out a way to bring back those who never were and save his friends from the collapse of reality."
6,0,A Christmas Carol,"Alone, Amy, Rory",2010,Modern,A Christmas Carol,11,"Heartwarming, Bittersweet, Sad",0,"Festive, Victorian, Mysterious, Nostalgic",,"Sardicktown, Christmas Eve, Future",8.5,Festive edition of the time-travelling drama. The Doctor has one hour to save a crashing spaceship and a miser's soul - but what lurks in the fog?
6,1,The Impossible Astronaut,"Amy, Rory, River",2011,Modern,The Impossible Astronaut,11,"Ominous, Dark, Sad",0,"Mysterious, Suspenseful, Adventure, Thrilling",The Silence,"Utah, USA, Present, 2011",8.8,"The Doctor, Amy, Rory and River Song are reunited in the Utah desert."
6,2,Day of the Moon,"Flesh!Amy, Rory, River",2011,Modern,Day of the Moon,11,"Dark, Ominous, Sad",0,"Mysterious, Thrilling, Atmospheric, Suspenseful",The Silence,"New York, Past, 1969",8.8,The Doctor and his allies mount a rebellion against invaders who have been controlling humanity from the very beginning.
6,3,The Curse of the Black Spot,"Flesh!Amy, Rory",2011,Modern,The Curse of the Black Spot,11,"Dark, Mysterious, Ominous, Suspenseful",0,"Pirate, Adventure, Fantasy, Horror",Siren,"17th, 18th century Pirate Ship, Past",6.6,"The Doctor, Amy and Rory find themselves aboard a marooned pirate ship whose crew is being picked off one by one by a beautiful - and deadly - Siren."
6,4,The Doctor's Wife,"Flesh!Amy, Rory, Other",2011,Modern,The Doctor's Wife,11,"Bittersweet, Sad, Melancholic",0,"Mysterious, Dark, Quirky, Fantastical",House,"Asteroid, Present, Future",8.9,The Doctor is lured to a sentient asteroid outside of the Universe by a Time Lord distress signal and soon realises his TARDIS is in grave danger.
6,5,The Rebel Flesh,"Flesh!Amy, Rory",2011,Modern,The Rebel Flesh,11,"Dark, Ominous, Suspenseful",0,"Industrial, Mysterious, Ominous, Isolated",,"22nd century, Future, Island monastery",7.1,"A solar tsunami sends the TARDIS crew to an acid mining factory in the 22nd century, where a small team of workers come under attack from their doppelgangers."
6,6,The Almost People,"Flesh!Amy, Rory",2011,Modern,The Almost People,11,"Dark, Bittersweet, Sad",0,"Mysterious, Industrial, Ominous, Suspenseful",The Gangers,"Present, 2011",7.3,The gangers and humans battle for their lives as the factory crumbles and the Doctor tries to keep the peace - can everyone make it off the island alive?
6,7,A Good Man Goes to War,"Amy, Rory, River, other",2011,Modern,A Good Man Goes to War,11,"Emotional, Intense, Sad",0,"Dark, Mysterious, Action, Suspense","Madame Kovarian, The Silence","Demons Run, Space, Future",9,A member of The Doctor's team has been abducted and he will call in every favor and maybe even go to war to get them back.
6,8,Let's Kill Hitler,"Amy, Rory, River",2011,Modern,Let's Kill Hitler,11,"Dark, Twisted, Sad",0,"Mysterious, Adventurous, Historical, Thrilling",The Teselecta,"Berlin, Germany, Past, 1938",7.9,"The search for Melody Pond brings the Doctor and his friends to Berlin in 1938, face-to-face with Adolf Hitler, River Song and a justice-serving, shapeshifting robot."
6,9,Night Terrors,"Amy, Rory",2011,Modern,Night Terrors,11,"Dark, Frightening, Sad",0,"Creepy, Mysterious, Ominous, Suspenseful",The Dolls,"Modern-day London, Present, 2011",7,"Receiving a powerful distress call from a terrified little boy, the Doctor and his friends soon find that the monsters in his cupboard are real - and deadly."
6,10,The Girl Who Waited,"Amy, Rory, old!Amy",2011,Modern,The Girl Who Waited,11,"Sad, Melancholic, Tragic",0,"Mysterious, Emotional, Dark, Introspective",,"Apalapucia, Future, 4037",8.4,"Amy is trapped in a quarantine facility where time moves faster than in reality, while the Doctor is confined to the TARDIS. Can Rory save his wife in time?"
6,11,The God Complex,"Amy, Rory",2011,Modern,The God Complex,11,"Dark, Terrifying, Sad",0,"Horror, Mysterious, Thrilling, Suspenseful",The Minotaur,"Present, 2011, Hotel",8,"The Doctor, Amy and Rory become trapped in a hotel of horrors unable to escape and unable to find the TARDIS. The Doctor must save as many people as he can taking many twists and seeing his own worst fear."
6,12,Closing Time,Other,2011,Modern,Closing Time,11,"Bittersweet, Sad,",0,"Mysterious, Dark, Quirky,",Cybermen,"London, Present, 2011",7.5,"The Doctor makes one last stop before his death to see an old friend. But people are disappearing, there are reports of a silver rat and metal men are lurking in the shadows."
6,13,The Wedding of River Song,"Amy, Rory, River",2011,Modern,The Wedding of River Song,11,"Bittersweet, Melancholic, Sad",0,"Mysterious, Adventurous, Romantic, Dark",The Silence,"Space, Future, 5225",8.4,"April 22nd, 2011; 5:02pm. Having finally accepted his fate the Doctor travels to Lake Silencio for his final day. But one woman refuses to let time take its course."
7,0,"The Doctor, the Widow and the Wardrobe",Alone,2011,Modern,"The Doctor, the Widow and the Wardrobe",11,"Nostalgic, Magical,",0,"Fantasy, Adventure, Mystery,",,"England, Past, 1940s",7.1,"On Christmas Eve 1941, the Doctor poses as a caretaker to give recently widowed Madge Arwell and her two children an unforgettable Christmas but things quickly get out of hand when her son Cyril enters a snowy forest world full of..."
